I48H1   2017089  2017101   35.805230    9.323020    0.8482 Thala,_Tunisia                                     ss   I48TN     0.0000    0.0000 20170413 12:00:00
I48H1   2017102  2019309   35.805230    9.322880    0.8503 Thala,_Tunisia                                     ss   I48TN     0.0000    0.0000 20191211 12:00:00
I48H1   2019310  2286324   35.805230    9.322880    0.8500 Thala,_Tunisia                                     ss   I48TN     0.0000    0.0000 20191211 12:00:00
I48H2   2017089  2017101   35.803650    9.323560    0.8458 Thala,_Tunisia                                     ss   I48TN    -0.1753    0.0488 20170413 12:00:00
I48H2   2017102  2019309   35.803750    9.323760    0.8472 Thala,_Tunisia                                     ss   I48TN    -0.1642    0.0795 20191211 12:00:00
I48H2   2019310  2286324   35.803750    9.323760    0.8470 Thala,_Tunisia                                     ss   I48TN    -0.1646    0.0794 20191211 12:00:00
I48H3   2017089  2017101   35.802350    9.321540    0.8411 Thala,_Tunisia                                     ss   I48TN    -0.3196   -0.1338 20170413 12:00:00
I48H3   2017102  2019309   35.802430    9.321490    0.8465 Thala,_Tunisia                                     ss   I48TN    -0.3107   -0.1256 20191211 12:00:00
I48H3   2019310  2286324   35.802430    9.321490    0.8460 Thala,_Tunisia                                     ss   I48TN    -0.3113   -0.1254 20191211 12:00:00
I48H4   2017089  2017101   35.803810    9.321060    0.8433 Thala,_Tunisia                                     ss   I48TN    -0.1576   -0.1772 20170413 12:00:00
I48H4   2017102  2019309   35.803930    9.320970    0.8483 Thala,_Tunisia                                     ss   I48TN    -0.1442   -0.1726 20191211 12:00:00
I48H4   2019310  2286324   35.803930    9.320970    0.8480 Thala,_Tunisia                                     ss   I48TN    -0.1145   -0.1722 20191211 12:00:00
I48H5   2017089  2017101   35.813320    9.324570    0.8708 Thala,_Tunisia                                     ss   I48TN     0.8976    0.1401 20170413 12:00:00
I48H5   2017102  2019309   35.813410    9.324750    0.8706 Thala,_Tunisia                                     ss   I48TN     0.9076    0.1690 20191211 12:00:00
I48H5   2019310  2286324   35.813410    9.324750    0.8710 Thala,_Tunisia                                     ss   I48TN     0.9096    0.1686 20191211 12:00:00
I48H6   2017089  2017101   35.797060    9.329040    0.8311 Thala,_Tunisia                                     ss   I48TN    -0.9065    0.5442 20170413 12:00:00
I48H6   2017102  2019309   35.797110    9.329170    0.8361 Thala,_Tunisia                                     ss   I48TN    -0.9010    0.5686 20191211 12:00:00
I48H6   2019310  2286324   35.797110    9.329170    0.8360 Thala,_Tunisia                                     ss   I48TN    -0.9029    0.5672 20191211 12:00:00
I48H7   2017089  2017101   35.804000    9.311550    0.8656 Thala,_Tunisia                                     ss   I48TN    -0.1364   -1.0368 20170413 12:00:00
I48H7   2017102  2019309   35.804070    9.311360    0.8626 Thala,_Tunisia                                     ss   I48TN    -0.1286   -1.0413 20191211 12:00:00
I48H7   2019310  2286324   35.804070    9.311360    0.8630 Thala,_Tunisia                                     ss   I48TN    -0.1290   -1.0389 20191211 12:00:00
I48L1   2006153  2017088   35.805230    9.323020    0.8482 Thala,_Tunisia                                     ss   I48TN     0.0000    0.0000 20170404 12:00:00
I48L2   2006153  2017088   35.803650    9.323560    0.8458 Thala,_Tunisia                                     ss   I48TN    -0.1753    0.0488 20170404 12:00:00
I48L3   2006153  2017088   35.802350    9.321540    0.8411 Thala,_Tunisia                                     ss   I48TN    -0.3196   -0.1338 20170404 12:00:00
I48L4   2006153  2017088   35.803810    9.321060    0.8433 Thala,_Tunisia                                     ss   I48TN    -0.1576   -0.1772 20170404 12:00:00
I48L5   2006153  2017088   35.813320    9.324570    0.8708 Thala,_Tunisia                                     ss   I48TN     0.8976    0.1401 20170404 12:00:00
I48L6   2006153  2017088   35.797060    9.329040    0.8311 Thala,_Tunisia                                     ss   I48TN    -0.9065    0.5442 20170404 12:00:00
I48L7   2006153  2017088   35.804000    9.311550    0.8656 Thala,_Tunisia                                     ss   I48TN    -0.1364   -1.0368 20170404 12:00:00
I48TN   2006153  2017088   35.805230    9.323020    0.8482 Thala,_Tunisia                                     ar   I48TN     0.0000    0.0000 20170404 12:00:00
I48TN   2017089  2017101   35.805230    9.323020    0.8482 Thala,_Tunisia                                     ar   I48TN     0.0000    0.0000 20170413 12:00:00
I48TN   2017102  2286309   35.805230    9.322880    0.8503 Thala,_Tunisia                                     ar   I48TN     0.0000    0.0000 20191211 12:00:00
I48TN   2019310  2286324   35.805230    9.322880    0.8500 Thala,_Tunisia                                     ar   I48TN     0.0000    0.0000 20191211 12:00:00
